Timestamp;Temperature (°C);Heat (V);Fan (V)
07.05.2024 10:52;30,3;0;4,933133463
07.05.2024 10:52;30,28;0;4,933133463
07.05.2024 10:52;30,31;0;4,933133463
07.05.2024 10:52;30,34;5;4,933133463
07.05.2024 10:52;30,37;5;4,933133463
07.05.2024 10:52;30,37;5;4,933133463
07.05.2024 10:52;30,37;5;4,933133463
07.05.2024 10:52;30,37;0;4,933133463
07.05.2024 10:52;30,37;0;4,943326157
07.05.2024 10:52;30,39;0;4,933133463
07.05.2024 10:52;30,4;0;4,933133463
07.05.2024 10:52;30,44;5;4,933133463
07.05.2024 10:52;30,45;5;4,933133463
07.05.2024 10:52;30,46;5;4,933133463
07.05.2024 10:52;30,45;5;4,933133463
07.05.2024 10:52;30,45;0;4,933133463
07.05.2024 10:52;30,45;0;4,933133463
07.05.2024 10:52;30,46;0;4,933133463
07.05.2024 10:52;30,48;0;4,933133463
07.05.2024 10:52;30,5;5;4,933133463
07.05.2024 10:52;30,53;5;4,943326157
07.05.2024 10:52;30,53;5;4,933133463
07.05.2024 10:52;30,51;5;4,933133463
07.05.2024 10:52;30,5;0;4,933133463
07.05.2024 10:52;30,5;0;4,933133463
07.05.2024 10:52;30,51;0;4,933133463
07.05.2024 10:52;30,53;5;4,933133463
07.05.2024 10:52;30,54;5;4,933133463
07.05.2024 10:52;30,54;5;4,933133463
07.05.2024 10:52;30,54;5;4,933133463
07.05.2024 10:52;30,53;0;4,933133463
07.05.2024 10:52;30,53;0;4,933133463
07.05.2024 10:52;30,54;0;4,933133463
07.05.2024 10:52;30,55;0;4,933133463
07.05.2024 10:52;30,56;5;4,933133463
07.05.2024 10:52;30,58;5;4,933133463
07.05.2024 10:52;30,6;5;4,933133463
07.05.2024 10:52;30,6;5;4,933133463
07.05.2024 10:52;30,59;0;4,933133463
07.05.2024 10:52;30,58;0;4,933133463
07.05.2024 10:52;30,59;0;4,933133463
07.05.2024 10:52;30,59;0;4,178874057
07.05.2024 10:52;30,62;5;3,750780881
07.05.2024 10:52;30,65;5;3,618275851
07.05.2024 10:52;30,67;5;3,445000041
07.05.2024 10:52;30,67;5;3,383843873
07.05.2024 10:52;30,65;0;3,373651179
07.05.2024 10:52;30,65;0;3,373651179
07.05.2024 10:52;30,65;0;3,363458484
07.05.2024 10:52;30,68;0;3,363458484
07.05.2024 10:52;30,7;5;3,373651179
07.05.2024 10:52;30,76;5;3,363458484
07.05.2024 10:52;30,77;5;3,363458484
07.05.2024 10:52;30,76;5;3,363458484
07.05.2024 10:52;30,77;0;3,363458484
07.05.2024 10:52;30,79;0;3,363458484
07.05.2024 10:52;30,82;0;3,363458484
07.05.2024 10:52;30,87;0;3,363458484
07.05.2024 10:52;30,92;5;3,363458484
07.05.2024 10:52;30,97;5;3,363458484
07.05.2024 10:52;31,02;5;3,363458484
07.05.2024 10:52;31,07;0;3,363458484
07.05.2024 10:52;31,11;0;3,353265789
07.05.2024 10:52;31,14;0;3,363458484
07.05.2024 10:52;31,18;0;3,363458484
07.05.2024 10:52;31,21;5;3,363458484
07.05.2024 10:52;31,24;5;3,363458484
07.05.2024 10:52;31,28;5;3,363458484
07.05.2024 10:52;31,3;5;3,363458484
07.05.2024 10:52;31,32;0;3,363458484
07.05.2024 10:52;31,33;0;3,363458484
07.05.2024 10:52;31,34;0;3,363458484
07.05.2024 10:52;31,37;0;3,363458484
07.05.2024 10:52;31,42;5;3,353265789
07.05.2024 10:52;31,46;5;3,363458484
07.05.2024 10:52;31,48;5;3,363458484
07.05.2024 10:52;31,52;5;3,363458484
07.05.2024 10:52;31,53;0;3,363458484
07.05.2024 10:52;31,53;0;3,363458484
07.05.2024 10:52;31,55;0;3,363458484
07.05.2024 10:52;31,58;0;3,363458484
07.05.2024 10:52;31,6;5;3,353265789
07.05.2024 10:52;31,65;5;3,353265789
